code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KB10018013,Kit compresor A/C,CITROEN,BERLINGO,F1C 3.0 (Euro 3-4),2004,,2014,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.998,any,"Poly-V 8K A Ø137
4.087 rpm",,N,2004,,TM 21 / QP 21
KB11128036,Kit compresor A/C,CITROEN,BERLINGO,F1CFL411F*A (Euro 6),2014,,2014,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.998,any,,"1A Ø150
3.730 rpm",#¿NOMBRE?,08/2014,,TM 21 / QP 21
KB12018037,Kit compresor A/C,CITROEN,BERLINGO,F1CFL411F*A (Euro 6),2014,,2014,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.998,no,"Poly-V 8K A Ø137
4.090 rpm",,N,08/2014,,TM 21 / QP 21
